company,avg_score,avg_dividend,signal,last_close
SAHAS,0.4024,7.47,Neutral,552.0
GBIME,0.4183,8.4,Neutral,228.0
ADBL,0.4929,12.12,Neutral,298.0
API,0.5407,3.42,Neutral,295.0
BPCL,0.4956,5.89,Neutral,741.9
CHL,0.4489,0.0,Neutral,261.0
CIT,0.4113,16.9,Neutral,1844.0
GBBL,0.5117,8.48,Neutral,388.0
HBL,0.3625,3.28,Bearish,190.6
ICFC,0.4852,9.36,Neutral,635.0
KSBBL,0.5134,7.97,Neutral,440.9
MEN,0.51,15.5,Neutral,569.1
MNBBL,0.4712,15.29,Neutral,354.9
NIFRA,0.4925,3.67,Neutral,266.7
NMB,0.4942,3.28,Neutral,238.2
PRVU,0.4113,0.0,Neutral,186.2
RADHI,0.3786,5.0,Bearish,754.0
SANIMA,0.4544,9.1,Neutral,322.0
SBL,0.4966,6.21,Neutral,376.9
SCB,0.4718,19.98,Neutral,631.0
TRH,0.5061,8.87,Neutral,705.1
UNHPL,0.4775,0.0,Neutral,481.9
UPCL,0.4985,6.11,Neutral,362.5
NABIL,0.472,16.07,Neutral,496.7
SHL,0.4337,33.33,Neutral,492.0
