company,signal,avg_score,avg_dividend,last_close,final_weight,allocated_capital,shares_to_buy,amount_invested,dividend_income,strategy
API,Neutral,0.5407,3.42,295,0.1271,6355,21,6195,71.82,HIGH RISK / HIGH RETURN
KSBBL,Neutral,0.5134,7.97,440.9,0.1068,5340,12,5290.8,95.64,HIGH RISK / HIGH RETURN
GBBL,Neutral,0.5117,8.48,388,0.1058,5290,13,5044,110.24,HIGH RISK / HIGH RETURN
MEN,Neutral,0.51,15.5,569.1,0.1108,5540,9,5121.9,139.5,HIGH RISK / HIGH RETURN
TRH,Neutral,0.5061,8.87,705.1,0.1011,5055,7,4935.7,62.09,HIGH RISK / HIGH RETURN
UPCL,Neutral,0.4985,6.11,362.5,0.0918,4590,12,4350,73.32,HIGH RISK / HIGH RETURN
SBL,Neutral,0.4966,6.21,376.9,0.0901,4505,11,4145.9,68.31,HIGH RISK / HIGH RETURN
BPCL,Neutral,0.4956,5.89,741.9,0.089,4450,5,3709.5,29.45,HIGH RISK / HIGH RETURN
NMB,Neutral,0.4942,3.28,238.2,0.0853,4265,17,4049.4,55.76,HIGH RISK / HIGH RETURN
ADBL,Neutral,0.4929,12.12,298,0.0923,4615,15,4470,181.8,HIGH RISK / HIGH RETURN
